user,item,label,Gender,Weight,Height,Goal,Calories Burn,Steps,Running Distance,Flights Climbed,Name,Meal,Cooking Difficulty,Time Required,Calories,Author,Description,Making Steps,Nutrition_1,Nutrition_2,Nutrition_3,Nutrition_4,Nutrition_5,Nutrition_6,Nutrition_7,Nutrition_8,Nutrition_9,Ingredient_1,Ingredient_2,Ingredient_3,Ingredient_4,Ingredient_5,Ingredient_6,Ingredient_7,Ingredient_8,Ingredient_9,Ingredient_10,Ingredient_11,Date_encoded,DOB_encoded
9,9,4,Female,57,148,Muscle Gain,1850,680,2.0,10,Chicken Tagine,Dinner,Medium,60,320,User26,"chicken tagine is a moroccan dish cooked in a traditional clay pot called a tagine. it features tender chicken pieces cooked with preserved lemons, olives, onions, and a blend of moroccan spices like cumin, coriander, and saffron.","step 1: brown chicken: in a tagine or heavy-bottomed pot, brown chicken pieces., step 2: saute aromatics: add chopped onions and minced garlic., step 3: add spices: stir in cumin, coriander, and saffron., step 4: add liquid: add water or chicken broth to cover the chicken., step 5: simmer: cook on low heat until chicken is tender., step 6: add preserved lemons and olives: add chopped preserved lemons and green olives., step 7: serve: garnish with fresh cilantro and serve with couscous.",Fat-15.0g,Cholesterol-80.0mg,Sodium-600.0mg,Potassium-400.0mg,Carbohydrate-20.0g,Protein-25.0g,Calcium-60.0mg,Iron-3.0mg,Magnesium-40.0mg,Chicken thighs 4,Preserved lemons 2,Green olives 1 cup,Onion 1,Garlic 4 cloves,Cumin 1 tsp,Coriander 1 tsp,Saffron threads a pinch,missing,missing,missing,8848,21618
7,8,3,Female,62,158,Fit,1450,550,1.0,8,Bruschetta,Others,Easy,20,150,User25,"bruschetta is an italian appetizer made with toasted bread topped with a mixture of tomatoes, basil, garlic, olive oil, and vinegar. it's a simple and refreshing dish that's perfect for summer.","step 1: toast bread: slice baguette and toast until golden brown., step 2: prepare topping: dice tomatoes, mince garlic, and chop basil., step 3: mix: combine tomatoes, garlic, basil, olive oil, and balsamic vinegar., step 4: top bread: spoon tomato mixture onto toasted bread., step 5: serve: serve immediately as an appetizer.",Fat-7.0g,Cholesterol-0.0mg,Sodium-200.0mg,Potassium-100.0mg,Carbohydrate-20.0g,Protein-3.0g,Calcium-20.0mg,Iron-1.0mg,Magnesium-10.0mg,Baguette 1,Tomatoes 3,Garlic 2 cloves,Fresh basil 1/4 cup,Olive oil 3 tbsp,Balsamic vinegar 1 tbsp,missing,missing,missing,missing,missing,8856,20818
1,3,4,Female,55,142,Fit,1400,600,1.5,10,Pad Thai,Breakfast,Medium,30,350,User20,"pad thai is a popular thai street food made with stir-fried rice noodles, tofu, shrimp or chicken, bean sprouts, and eggs, seasoned with tamarind pulp, fish sauce, and palm sugar. it's a harmonious blend of sweet, sour, and spicy flavors.","step 1: cook noodles: soak rice noodles in warm water until soft., step 2: prepare sauce: mix tamarind pulp, fish sauce, and palm sugar., step 3: stir fry tofu and protein: fry tofu and shrimp or chicken until cooked., step 4: add noodles and sauce: stir in noodles and sauce mixture., step 5: add eggs and bean sprouts: push noodles to one side, scramble eggs, then mix in bean sprouts., step 6: serve: garnish with chopped peanuts, lime wedges, and cilantro.",Fat-10.0g,Cholesterol-100.0mg,Sodium-600.0mg,Potassium-200.0mg,Carbohydrate-50.0g,Protein-15.0g,Calcium-60.0mg,Iron-2.0mg,Magnesium-20.0mg,Rice noodles 300 grams,Shrimp 200 grams,Tofu 200 grams,Bean sprouts 1 cup,Eggs 2,Tamarind pulp 3 tbsp,Fish sauce 2 tbsp,Palm sugar 2 tbsp,missing,missing,missing,8840,20188
4,15,2,Male,80,175,Fit,1500,500,1.0,7,Vegetable Paella,Breakfast,Medium,45,320,User32,"vegetable paella is a spanish rice dish cooked with saffron, vegetables like bell peppers, peas, and artichokes, and often includes ingredients like tomatoes, garlic, and onions. it's a vibrant and flavorful vegetarian version of the traditional seafood paella.","step 1: prepare saffron broth: steep saffron in warm vegetable broth., step 2: saute vegetables: in a large pan, saute chopped onions, sliced bell peppers, and minced garlic., step 3: add rice: stir in rice and cook for 2-3 minutes., step 4: add broth: pour in saffron-infused broth., step 5: add vegetables: add peas and quartered artichokes., step 6: simmer: cover and simmer until rice is cooked and liquid is absorbed., step 7: serve: garnish with lemon wedges and fresh parsley.",Fat-8.0g,Cholesterol-0.0mg,Sodium-600.0mg,Potassium-400.0mg,Carbohydrate-60.0g,Protein-8.0g,Calcium-40.0mg,Iron-2.0mg,Magnesium-30.0mg,Rice 2 cups,Bell peppers 2,Peas 1 cup,Artichokes 4,Onion 1,Garlic 3 cloves,Saffron a pinch,Vegetable broth 4 cups,missing,missing,missing,8863,18387
2,3,3,Male,70,165,Weight Loss,1600,550,2.0,8,Pad Thai,Breakfast,Medium,30,350,User20,"pad thai is a popular thai street food made with stir-fried rice noodles, tofu, shrimp or chicken, bean sprouts, and eggs, seasoned with tamarind pulp, fish sauce, and palm sugar. it's a harmonious blend of sweet, sour, and spicy flavors.","step 1: cook noodles: soak rice noodles in warm water until soft., step 2: prepare sauce: mix tamarind pulp, fish sauce, and palm sugar., step 3: stir fry tofu and protein: fry tofu and shrimp or chicken until cooked., step 4: add noodles and sauce: stir in noodles and sauce mixture., step 5: add eggs and bean sprouts: push noodles to one side, scramble eggs, then mix in bean sprouts., step 6: serve: garnish with chopped peanuts, lime wedges, and cilantro.",Fat-10.0g,Cholesterol-100.0mg,Sodium-600.0mg,Potassium-200.0mg,Carbohydrate-50.0g,Protein-15.0g,Calcium-60.0mg,Iron-2.0mg,Magnesium-20.0mg,Rice noodles 300 grams,Shrimp 200 grams,Tofu 200 grams,Bean sprouts 1 cup,Eggs 2,Tamarind pulp 3 tbsp,Fish sauce 2 tbsp,Palm sugar 2 tbsp,missing,missing,missing,8851,19035
10,12,5,Male,72,168,Fit,1430,530,1.0,7,Spaghetti Carbonara,Dinner,Medium,25,450,User29,"spaghetti carbonara is a classic italian pasta dish made with spaghetti, pancetta or bacon, eggs, parmesan cheese, and black pepper. the eggs create a creamy sauce that coats the pasta, resulting in a rich and satisfying dish.","step 1: cook pasta: boil spaghetti in salted water until al dente., step 2: cook pancetta/bacon: in a pan, cook pancetta or bacon until crispy., step 3: prepare sauce: in a bowl, whisk together eggs, grated parmesan, and black pepper., step 4: combine: drain pasta and toss with cooked pancetta/bacon., step 5: add sauce: remove from heat and quickly mix in the egg and cheese mixture., step 6: serve: garnish with additional parmesan and black pepper.",Fat-20.0g,Cholesterol-150.0mg,Sodium-400.0mg,Potassium-200.0mg,Carbohydrate-40.0g,Protein-20.0g,Calcium-150.0mg,Iron-2.0mg,Magnesium-20.0mg,Spaghetti 200 grams,Pancetta or bacon 100 grams,Eggs 2,Parmesan cheese 1/2 cup,Black pepper 1/2 tsp,missing,missing,missing,missing,missing,missing,8849,18007
4,5,2,Male,80,175,Fit,1500,500,1.0,7,Caesar Salad,Dinner,Easy,15,250,User22,"caesar salad is a classic salad made with romaine lettuce, croutons, parmesan cheese, and caesar dressing. it's a simple yet flavorful salad that's popular in many countries.","step 1: prepare salad: chop lettuce and grate cheese., step 2: assemble: in a large bowl, combine lettuce, croutons, and cheese., step 3: dress: add caesar dressing and toss to combine., step 4: serve: plate salad and garnish with additional parmesan cheese.",Fat-18.0g,Cholesterol-50.0mg,Sodium-400.0mg,Potassium-300.0mg,Carbohydrate-15.0g,Protein-10.0g,Calcium-100.0mg,Iron-1.5mg,Magnesium-15.0mg,Romaine lettuce 1 head,Croutons 1 cup,Parmesan cheese 50 grams,Caesar dressing 1/2 cup,missing,missing,missing,missing,missing,missing,missing,8853,18387
2,6,3,Male,70,165,Weight Loss,1600,550,2.0,8,Miso Soup,Easy,Dinner,15,40,User23,"miso soup is a traditional japanese soup made with dashi broth and miso paste, often containing tofu, seaweed, and green onions. it's a light and comforting dish commonly served as a starter in japanese cuisine.","step 1: prepare dashi: bring dashi stock to a simmer., step 2: dissolve miso: in a bowl, dissolve miso paste in a small amount of hot dashi., step 3: add tofu and wakame: add tofu and wakame seaweed to the simmering stock., step 4: incorporate miso: stir in dissolved miso paste., step 5: garnish: garnish with chopped green onions before serving.",Fat-2.0g,Cholesterol-0.0mg,Sodium-600.0mg,Potassium-50.0mg,Carbohydrate-4.0g,Protein-3.0g,Calcium-20.0mg,Iron-0.5mg,Magnesium-10.0mg,Dashi stock 4 cups,Miso paste 3 tbsp,Tofu 200 grams,Wakame seaweed 1/4 cup,Green onions 2,missing,missing,missing,missing,missing,missing,8841,19035
3,14,5,Female,60,155,Muscle Gain,1800,700,1.0,12,Beef Bourguignon,Dinner,Hard,180,550,User31,"beef bourguignon is a classic french beef stew cooked with red wine, beef broth, onions, carrots, and mushrooms, seasoned with garlic, thyme, and bay leaves. it's a hearty and flavorful dish that's perfect for cold weather.","step 1: brown beef: in a large pot, brown beef chunks in batches., step 2: saute vegetables: saute chopped onions, sliced carrots, and mushrooms., step 3: deglaze: add red wine to the pot, scraping up any browned bits., step 4: simmer: add beef broth, garlic, thyme, and bay leaves. simmer on low heat for 2-3 hours., step 5: serve: remove bay leaves and serve hot with crusty bread or mashed potatoes.",Fat-30.0g,Cholesterol-120.0mg,Sodium-700.0mg,Potassium-600.0mg,Carbohydrate-20.0g,Protein-35.0g,Calcium-60.0mg,Iron-4.0mg,Magnesium-40.0mg,Beef chuck 1.5 kg,Red wine 2 cups,Beef broth 2 cups,Onion 2,Carrots 4,Mushrooms 200 grams,Garlic 4 cloves,Thyme 2 tsp,Bay leaves 2,missing,missing,8862,21416
6,7,4,Male,75,170,Muscle Gain,1900,650,2.5,11,Chana Masala,Others,Medium,45,220,User24,"chana masala is a popular indian curry made with chickpeas cooked in a spicy and tangy tomato-based sauce, seasoned with various spices like garam masala, cumin, and coriander. it's a flavorful vegetarian dish often served with rice or naan.","step 1: prepare masala: blend tomatoes, onion, garlic, and ginger into a smooth paste., step 2: saute spices: in a pan, saute cumin, coriander, and garam masala., step 3: add masala: add the blended tomato-onion paste and cook until oil separates., step 4: cook chickpeas: add chickpeas, salt, and water. simmer until chickpeas are tender., step 5: serve: garnish with fresh coriander leaves and serve hot with rice or naan.",Fat-6.0g,Cholesterol-0.0mg,Sodium-500.0mg,Potassium-300.0mg,Carbohydrate-35.0g,Protein-8.0g,Calcium-60.0mg,Iron-2.5mg,Magnesium-30.0mg,Chickpeas 2 cups,Tomatoes 2,Onion 1,Garlic 3 cloves,Ginger 1 inch piece,Garam masala 1 tsp,Cumin 1 tsp,Coriander 1 tsp,missing,missing,missing,8845,17738
