ID,Name,Meal,Cooking Difficulty,Time Required,Calories,Author,Description,Nutrition,Ingredient,Making Steps
1,Sushi Rolls,Hard,60,300,User18,"Sushi Rolls are a traditional Japanese dish made with vinegared rice, seafood, and vegetables, rolled in seaweed. They are a popular dish in Japanese cuisine and are often served with soy sauce, wasabi, and pickled ginger.","Fat-5.0g, Cholesterol-50.0mg, Sodium-500.0mg, Potassium-100.0mg, Carbohydrate-50.0g, Protein-15.0g, Calcium-20.0mg, Iron-1.0mg, Magnesium-15.0mg","Sushi rice 2 cups, Nori seaweed sheets 4, Fresh fish (like tuna or salmon) 300 grams, Cucumber 1, Avocado 1","Step 1: Prepare Sushi Rice: Cook rice and mix with sushi vinegar., Step 2: Prepare Fillings: Slice fish, cucumber, and avocado into thin strips., Step 3: Roll Sushi: Place nori sheet on bamboo mat, spread rice, add fillings, and roll tightly., Step 4: Slice and Serve: Slice rolls into bite-sized pieces and serve with soy sauce, wasabi, and pickled ginger."
2,Paella,Dinner,Medium,45,400,User19,"Paella is a Spanish rice dish originally from Valencia. It typically contains a variety of seafood, meats, and vegetables, seasoned with saffron and other spices. It's a flavorful and colorful dish that represents the rich culinary tradition of Spain.","Fat-10.0g, Cholesterol-60.0mg, Sodium-600.0mg, Potassium-300.0mg, Carbohydrate-60.0g, Protein-20.0g, Calcium-40.0mg, Iron-2.5mg, Magnesium-25.0mg","Arborio rice 2 cups, Chicken thighs 4, Shrimp 300 grams, Chorizo sausage 200 grams, Bell peppers 2, Onion 1, Garlic 3 cloves, Saffron threads 1/2 tsp","Step 1: Prepare Ingredients: Chop vegetables, slice chorizo and chicken., Step 2: Sear Meats: Brown chicken and chorizo in a paella pan., Step 3: Saute Vegetables: Add onions, bell peppers, and garlic., Step 4: Add Rice and Saffron: Stir in rice and saffron threads., Step 5: Add Broth: Pour in chicken broth and simmer until rice is cooked., Step 6: Add Seafood: Arrange shrimp on top and cook until pink., Step 7: Serve: Garnish with lemon wedges and parsley."
3,Pad Thai,Breakfast,Medium,30,350,User20,"Pad Thai is a popular Thai street food made with stir-fried rice noodles, tofu, shrimp or chicken, bean sprouts, and eggs, seasoned with tamarind pulp, fish sauce, and palm sugar. It's a harmonious blend of sweet, sour, and spicy flavors.","Fat-10.0g, Cholesterol-100.0mg, Sodium-600.0mg, Potassium-200.0mg, Carbohydrate-50.0g, Protein-15.0g, Calcium-60.0mg, Iron-2.0mg, Magnesium-20.0mg","Rice noodles 300 grams, Shrimp 200 grams, Tofu 200 grams, Bean sprouts 1 cup, Eggs 2, Tamarind pulp 3 tbsp, Fish sauce 2 tbsp, Palm sugar 2 tbsp","Step 1: Cook Noodles: Soak rice noodles in warm water until soft., Step 2: Prepare Sauce: Mix tamarind pulp, fish sauce, and palm sugar., Step 3: Stir Fry Tofu and Protein: Fry tofu and shrimp or chicken until cooked., Step 4: Add Noodles and Sauce: Stir in noodles and sauce mixture., Step 5: Add Eggs and Bean Sprouts: Push noodles to one side, scramble eggs, then mix in bean sprouts., Step 6: Serve: Garnish with chopped peanuts, lime wedges, and cilantro."
4,Ratatouille,Lunch,Easy,40,200,User21,"Ratatouille is a French Provencal stewed vegetable dish made with eggplant, zucchini, bell peppers, onions, garlic, and tomatoes, seasoned with herbs like thyme and basil. It's a vegetarian dish that's both hearty and healthy.","Fat-8.0g, Cholesterol-0.0mg, Sodium-300.0mg, Potassium-500.0mg, Carbohydrate-30.0g, Protein-5.0g, Calcium-60.0mg, Iron-2.0mg, Magnesium-30.0mg","Eggplant 1, Zucchini 2, Bell peppers 2, Onion 1, Garlic 3 cloves, Tomatoes 3, Thyme 1 tsp, Basil 1/4 cup","Step 1: Prepare Vegetables: Chop all vegetables into bite-sized pieces., Step 2: Saute Vegetables: In a large pot, saute onions, garlic, and bell peppers., Step 3: Add Remaining Vegetables: Stir in eggplant, zucchini, and tomatoes., Step 4: Season: Add thyme, basil, salt, and pepper to taste., Step 5: Simmer: Cover and simmer on low heat until vegetables are tender., Step 6: Serve: Garnish with fresh basil leaves."
5,Caesar Salad,Dinner,Easy,15,250,User22,"Caesar Salad is a classic salad made with romaine lettuce, croutons, Parmesan cheese, and Caesar dressing. It's a simple yet flavorful salad that's popular in many countries.","Fat-18.0g, Cholesterol-50.0mg, Sodium-400.0mg, Potassium-300.0mg, Carbohydrate-15.0g, Protein-10.0g, Calcium-100.0mg, Iron-1.5mg, Magnesium-15.0mg","Romaine lettuce 1 head, Croutons 1 cup, Parmesan cheese 50 grams, Caesar dressing 1/2 cup","Step 1: Prepare Salad: Chop lettuce and grate cheese., Step 2: Assemble: In a large bowl, combine lettuce, croutons, and cheese., Step 3: Dress: Add Caesar dressing and toss to combine., Step 4: Serve: Plate salad and garnish with additional Parmesan cheese."
6,Miso Soup,Easy,Dinner,15,40,User23,"Miso Soup is a traditional Japanese soup made with dashi broth and miso paste, often containing tofu, seaweed, and green onions. It's a light and comforting dish commonly served as a starter in Japanese cuisine.","Fat-2.0g, Cholesterol-0.0mg, Sodium-600.0mg, Potassium-50.0mg, Carbohydrate-4.0g, Protein-3.0g, Calcium-20.0mg, Iron-0.5mg, Magnesium-10.0mg","Dashi stock 4 cups, Miso paste 3 tbsp, Tofu 200 grams, Wakame seaweed 1/4 cup, Green onions 2","Step 1: Prepare Dashi: Bring dashi stock to a simmer., Step 2: Dissolve Miso: In a bowl, dissolve miso paste in a small amount of hot dashi., Step 3: Add Tofu and Wakame: Add tofu and wakame seaweed to the simmering stock., Step 4: Incorporate Miso: Stir in dissolved miso paste., Step 5: Garnish: Garnish with chopped green onions before serving."
7,Chana Masala,Others,Medium,45,220,User24,"Chana Masala is a popular Indian curry made with chickpeas cooked in a spicy and tangy tomato-based sauce, seasoned with various spices like garam masala, cumin, and coriander. It's a flavorful vegetarian dish often served with rice or naan.","Fat-6.0g, Cholesterol-0.0mg, Sodium-500.0mg, Potassium-300.0mg, Carbohydrate-35.0g, Protein-8.0g, Calcium-60.0mg, Iron-2.5mg, Magnesium-30.0mg","Chickpeas 2 cups, Tomatoes 2, Onion 1, Garlic 3 cloves, Ginger 1 inch piece, Garam masala 1 tsp, Cumin 1 tsp, Coriander 1 tsp","Step 1: Prepare Masala: Blend tomatoes, onion, garlic, and ginger into a smooth paste., Step 2: Saute Spices: In a pan, saute cumin, coriander, and garam masala., Step 3: Add Masala: Add the blended tomato-onion paste and cook until oil separates., Step 4: Cook Chickpeas: Add chickpeas, salt, and water. Simmer until chickpeas are tender., Step 5: Serve: Garnish with fresh coriander leaves and serve hot with rice or naan."
8,Bruschetta,Others,Easy,20,150,User25,"Bruschetta is an Italian appetizer made with toasted bread topped with a mixture of tomatoes, basil, garlic, olive oil, and vinegar. It's a simple and refreshing dish that's perfect for summer.","Fat-7.0g, Cholesterol-0.0mg, Sodium-200.0mg, Potassium-100.0mg, Carbohydrate-20.0g, Protein-3.0g, Calcium-20.0mg, Iron-1.0mg, Magnesium-10.0mg","Baguette 1, Tomatoes 3, Garlic 2 cloves, Fresh basil 1/4 cup, Olive oil 3 tbsp, Balsamic vinegar 1 tbsp","Step 1: Toast Bread: Slice baguette and toast until golden brown., Step 2: Prepare Topping: Dice tomatoes, mince garlic, and chop basil., Step 3: Mix: Combine tomatoes, garlic, basil, olive oil, and balsamic vinegar., Step 4: Top Bread: Spoon tomato mixture onto toasted bread., Step 5: Serve: Serve immediately as an appetizer."
9,Chicken Tagine,Dinner,Medium,60,320,User26,"Chicken Tagine is a Moroccan dish cooked in a traditional clay pot called a tagine. It features tender chicken pieces cooked with preserved lemons, olives, onions, and a blend of Moroccan spices like cumin, coriander, and saffron.","Fat-15.0g, Cholesterol-80.0mg, Sodium-600.0mg, Potassium-400.0mg, Carbohydrate-20.0g, Protein-25.0g, Calcium-60.0mg, Iron-3.0mg, Magnesium-40.0mg","Chicken thighs 4, Preserved lemons 2, Green olives 1 cup, Onion 1, Garlic 4 cloves, Cumin 1 tsp, Coriander 1 tsp, Saffron threads a pinch","Step 1: Brown Chicken: In a tagine or heavy-bottomed pot, brown chicken pieces., Step 2: Saute Aromatics: Add chopped onions and minced garlic., Step 3: Add Spices: Stir in cumin, coriander, and saffron., Step 4: Add Liquid: Add water or chicken broth to cover the chicken., Step 5: Simmer: Cook on low heat until chicken is tender., Step 6: Add Preserved Lemons and Olives: Add chopped preserved lemons and green olives., Step 7: Serve: Garnish with fresh cilantro and serve with couscous."
10,Greek Salad,Lunch,Easy,15,210,User27,"Greek Salad, also known as Horiatiki, is a refreshing salad made with tomatoes, cucumbers, red onions, Kalamata olives, and feta cheese, dressed with olive oil and seasoned with dried oregano. It's a staple dish in Greek cuisine.","Fat-15.0g, Cholesterol-25.0mg, Sodium-400.0mg, Potassium-300.0mg, Carbohydrate-15.0g, Protein-6.0g, Calcium-150.0mg, Iron-1.5mg, Magnesium-20.0mg","Tomatoes 3, Cucumbers 2, Red onion 1, Kalamata olives 1/2 cup, Feta cheese 150 grams, Olive oil 3 tbsp, Dried oregano 1 tsp","Step 1: Prepare Vegetables: Chop tomatoes, cucumbers, and red onion., Step 2: Assemble Salad: In a large bowl, combine vegetables and olives., Step 3: Add Cheese: Crumble feta cheese over the salad., Step 4: Dress: Drizzle olive oil and sprinkle dried oregano., Step 5: Toss: Gently toss to combine all ingredients., Step 6: Serve: Serve immediately as a side dish or with crusty bread."
