User ID,Food ID,Rating,Date,Gender,DOB,Weight,Height,Goal,Calories Burn,Steps,Running Distance,Flights Climbed
1,3,4,2024-03-15,Female,2055-04-10,55,142,Fit,1400,600,1.5,10
2,6,3,2024-03-16,Male,2052-02-12,70,165,Weight Loss,1600,550,2.0,8
3,8,5,2024-03-17,Female,2058-08-20,60,155,Muscle Gain,1800,700,1.0,12
4,10,2,2024-03-18,Male,2050-05-05,80,175,Fit,1500,500,1.0,7
5,2,5,2024-03-19,Female,2060-10-15,58,150,Weight Loss,1600,600,1.5,9
6,7,4,2024-03-20,Male,2048-07-25,75,170,Muscle Gain,1900,650,2.5,11
7,4,3,2024-03-21,Female,2056-12-30,62,158,Fit,1450,550,1.0,8
8,5,2,2024-03-22,Male,2051-09-05,78,172,Weight Loss,1550,520,1.0,6
9,9,4,2024-03-23,Female,2059-03-10,57,148,Muscle Gain,1850,680,2.0,10
10,12,5,2024-03-24,Male,2049-04-20,72,168,Fit,1430,530,1.0,7
1,2,4,2024-03-25,Female,2055-04-10,55,142,Fit,1400,600,1.5,10
2,3,3,2024-03-26,Male,2052-02-12,70,165,Weight Loss,1600,550,2.0,8
3,4,5,2024-03-27,Female,2058-08-20,60,155,Muscle Gain,1800,700,1.0,12
4,5,2,2024-03-28,Male,2050-05-05,80,175,Fit,1500,500,1.0,7
5,6,5,2024-03-29,Female,2060-10-15,58,150,Weight Loss,1600,600,1.5,9
6,7,4,2024-03-30,Male,2048-07-25,75,170,Muscle Gain,1900,650,2.5,11
7,8,3,2024-03-31,Female,2056-12-30,62,158,Fit,1450,550,1.0,8
8,9,2,2024-04-01,Male,2051-09-05,78,172,Weight Loss,1550,520,1.0,6
9,10,4,2024-04-02,Female,2059-03-10,57,148,Muscle Gain,1850,680,2.0,10
10,11,5,2024-04-03,Male,2049-04-20,72,168,Fit,1430,530,1.0,7
1,12,4,2024-04-04,Female,2055-04-10,55,142,Fit,1400,600,1.5,10
2,13,3,2024-04-05,Male,2052-02-12,70,165,Weight Loss,1600,550,2.0,8
3,14,5,2024-04-06,Female,2058-08-20,60,155,Muscle Gain,1800,700,1.0,12
4,15,2,2024-04-07,Male,2050-05-05,80,175,Fit,1500,500,1.0,7
5,16,5,2024-04-08,Female,2060-10-15,58,150,Weight Loss,1600,600,1.5,9
6,17,4,2024-04-09,Male,2048-07-25,75,170,Muscle Gain,1900,650,2.5,11
7,18,3,2024-04-10,Female,2056-12-30,62,158,Fit,1450,550,1.0,8
8,19,2,2024-04-11,Male,2051-09-05,78,172,Weight Loss,1550,520,1.0,6
9,20,4,2024-04-12,Female,2059-03-10,57,148,Muscle Gain,1850,680,2.0,10
10,2,5,2024-04-13,Male,2049-04-20,72,168,Fit,1430,530,1.0,7
